,Accuracy,Precision,Recall,F1-Score, AUC
0,0.9916765755053508,0.9952718676122931,0.9882629107981221,0.9917550058892814,0.9917218168448442
1,0.9940546967895363,0.9974489795918368,0.9898734177215189,0.9936467598475222,0.9938156326275757
2,0.9869203329369798,0.9873737373737373,0.9848866498740554,0.9861286254728877,0.9868126943063971
3,0.9845422116527943,0.9931192660550459,0.9774266365688488,0.9852104664391353,0.9849444740633189
4,0.990487514863258,0.9951100244498777,0.9854721549636803,0.9902676399026764,0.9903996288837094
5,0.9916765755053508,0.9952830188679245,0.9882903981264637,0.9917743830787309,0.9917297401260338
6,0.9845422116527943,0.993103448275862,0.9773755656108597,0.9851767388825542,0.9849283843091892
7,0.990487514863258,0.9931818181818182,0.9886877828054299,0.9909297052154195,0.9905844929064743
8,0.9928656361474435,0.9923857868020305,0.9923857868020305,0.9923857868020305,0.9928371887030286
9,0.9869203329369798,0.9881235154394299,0.985781990521327,0.9869513641755634,0.9869244081484916
